,score,subject,session
0,0.9456190476190475,1,session_E
1,0.9348526077097506,1,session_T
2,0.6926031746031747,2,session_E
3,0.6335192743764173,2,session_T
4,0.9951609977324264,3,session_E
5,0.9918367346938777,3,session_T
6,0.8305034013605443,4,session_E
7,0.793469387755102,4,session_T
8,0.6795056689342405,5,session_E
9,0.5433514739229025,5,session_T
10,0.7495283446712018,6,session_E
11,0.7833605442176871,6,session_T
12,0.9857142857142858,7,session_E
13,0.8430793650793651,7,session_T
14,0.9961814058956916,8,session_E
15,1.0,8,session_T
16,0.9695192743764173,9,session_E
17,0.8503129251700681,9,session_T
