,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
70,0.7809297,0.23567343,144.0,6,session_E,22,2,001-2014,csp+lda
71,0.7553832,0.22573619,144.0,6,session_T,22,2,001-2014,csp+lda
72,0.9805125,0.26547202,144.0,7,session_E,22,2,001-2014,csp+lda
73,0.8589796,0.2480176,144.0,7,session_T,22,2,001-2014,csp+lda
74,0.9979592,0.23533264,144.0,8,session_E,22,2,001-2014,csp+lda
75,1.0,0.24014159,144.0,8,session_T,22,2,001-2014,csp+lda
76,0.9675102,0.23927446,144.0,9,session_E,22,2,001-2014,csp+lda
77,0.8420907,0.22494979,144.0,9,session_T,22,2,001-2014,csp+lda
78,0.88598484,0.177877,119.0,1,session_0,16,3,Zhou 2016,csp+lda
79,0.902,0.14703985,100.0,1,session_1,16,3,Zhou 2016,csp+lda
80,0.966,0.14822955,100.0,1,session_2,16,3,Zhou 2016,csp+lda
81,0.85,0.1572772,100.0,2,session_0,16,3,Zhou 2016,csp+lda
82,0.7604938,0.14406681,90.0,2,session_1,16,3,Zhou 2016,csp+lda
83,0.898,0.14261098,100.0,2,session_2,16,3,Zhou 2016,csp+lda
84,0.976,0.14919563,100.0,3,session_0,16,3,Zhou 2016,csp+lda
85,0.978,0.14302078,100.0,3,session_1,16,3,Zhou 2016,csp+lda
86,0.994,0.15523663,100.0,3,session_2,16,3,Zhou 2016,csp+lda
87,0.97037035,0.12620497,90.0,4,session_0,16,3,Zhou 2016,csp+lda
88,0.984,0.14778796,100.0,4,session_1,16,3,Zhou 2016,csp+lda
89,0.96,0.14318839,100.0,4,session_2,16,3,Zhou 2016,csp+lda
