,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.93719274,0.24706802,144.0,1,session_E,22,2,001-2014,csp+lda
1,0.9348526,0.24912462,144.0,1,session_T,22,2,001-2014,csp+lda
2,0.6079501,0.23827381,144.0,2,session_E,22,2,001-2014,csp+lda
3,0.6493515,0.22600698,144.0,2,session_T,22,2,001-2014,csp+lda
4,0.9979592,0.23896837,144.0,3,session_E,22,2,001-2014,csp+lda
5,0.990322,0.2289042,144.0,3,session_T,22,2,001-2014,csp+lda
6,0.8426485,0.23887601,144.0,4,session_E,22,2,001-2014,csp+lda
7,0.83672565,0.22837076,144.0,4,session_T,22,2,001-2014,csp+lda
8,0.62196374,0.23628859,144.0,5,session_E,22,2,001-2014,csp+lda
9,0.57080275,0.2302814,144.0,5,session_T,22,2,001-2014,csp+lda
10,0.80647165,0.23946881,144.0,6,session_E,22,2,001-2014,csp+lda
11,0.8006123,0.22600842,144.0,6,session_T,22,2,001-2014,csp+lda
12,0.95927894,0.2393878,144.0,7,session_E,22,2,001-2014,csp+lda
13,0.8682585,0.26933175,144.0,7,session_T,22,2,001-2014,csp+lda
14,0.9942721,0.2508532,144.0,8,session_E,22,2,001-2014,csp+lda
15,1.0,0.24263,144.0,8,session_T,22,2,001-2014,csp+lda
16,0.95134693,0.24483323,144.0,9,session_E,22,2,001-2014,csp+lda
17,0.8451837,0.22453666,144.0,9,session_T,22,2,001-2014,csp+lda
18,0.87310606,0.20786318,119.0,1,session_0,16,3,Zhou 2016,csp+lda
19,0.912,0.16506544,100.0,1,session_1,16,3,Zhou 2016,csp+lda
20,0.97,0.15335937,100.0,1,session_2,16,3,Zhou 2016,csp+lda
21,0.882,0.15375057,100.0,2,session_0,16,3,Zhou 2016,csp+lda
22,0.78271604,0.14426942,90.0,2,session_1,16,3,Zhou 2016,csp+lda
23,0.8,0.15750746,100.0,2,session_2,16,3,Zhou 2016,csp+lda
24,0.968,0.17274304,100.0,3,session_0,16,3,Zhou 2016,csp+lda
25,0.95,0.17292957,100.0,3,session_1,16,3,Zhou 2016,csp+lda
26,0.996,0.1795032,100.0,3,session_2,16,3,Zhou 2016,csp+lda
27,0.9604938,0.14146185,90.0,4,session_0,16,3,Zhou 2016,csp+lda
28,0.978,0.16098467,100.0,4,session_1,16,3,Zhou 2016,csp+lda
29,0.9,0.16033821,100.0,4,session_2,16,3,Zhou 2016,csp+lda
